,GWP100,LT,RE,lip,sol,,
5590,1.8945532],0.79715997],-0.63976943],0.13010152],-4.497887],,
8776,1.8945608],0.8203498],-0.66512555],0.15213944],-4.455568],,
10180,1.896428],0.7314436],-0.61702704],0.13853218],-4.630174],,
10963,1.896471],0.7484248],-0.67503905],0.15569247],-4.4751096],,
1297,1.8966055],0.53130525],-0.6681334],0.12303002],-4.0081086],,
12367,1.896901],0.6882506],-0.6322192],0.17129739],-4.6313505],,
7993,1.8970561],0.68404216],-0.5969111],0.17466862],-4.653213],,
2809,1.8974092],0.626234],-0.65070367],0.14703275],-4.3924637],,
6859,1.8974806],0.67236245],-0.67710006],0.17266019],-4.572161],,
13069,1.8977757],0.708581],-0.61156225],0.14516254],-4.6699586],,
2350,1.8983027],0.58203536],-0.6795047],0.14601137],-4.3090177],,
568,1.8984461],0.5869341],-0.64169765],0.0834576],-3.9667282],,
4267,1.8985848],0.652242],-0.62451506],0.14483537],-4.375789],,
11395,1.8986874],0.7503027],-0.65990394],0.16500212],-4.59697],,
1783,1.8989058],0.68475026],-0.6395736],0.10490616],-4.2558208],,
7750,1.8992237],0.68242073],-0.58750737],0.17486735],-4.6638227],,
6562,1.8992758],0.6984331],-0.6845862],0.17117603],-4.4933777],,
5752,1.8995159],0.7388046],-0.6343715],0.13007309],-4.5084815],,
1054,1.8999159],0.56712586],-0.65321267],0.08435662],-4.006412],,
4996,1.9000363],0.8634196],-0.6484542],0.13677163],-4.464624],,
3241,1.9007175],0.648896],-0.6537804],0.10595156],-4.312796],,
9208,1.9007664],0.77171636],-0.65347725],0.13748015],-4.5582566],,
4672,1.9007905],0.7600222],-0.64898896],0.13672526],-4.4573503],,
1864,1.9014112],0.6872932],-0.63925946],0.10475071],-4.2490044],,
10828,1.902151],0.7789077],-0.61501783],0.1379654],-4.640796],,
11557,1.9021521],0.8014943],-0.65720624],0.15584393],-4.613876],,
5266,1.9023699],0.7233453],-0.6384082],0.13003935],-4.50332],,
4,1.902377],-0.08573055],-1.002985],0.22521915],-3.0047543],,
11827,1.9025264],0.6726934],-0.6679352],0.17017026],-4.515591],,
8182,1.903285],0.6859969],-0.6920866],0.1720049],-4.525149],,
7453,1.9037386],0.671678],-0.6307014],0.17385127],-4.545115],,
9640,1.9045264],0.7091507],-0.6501941],0.13107528],-4.5107574],,
8317,1.9045352],0.7005998],-0.68503165],0.17281647],-4.567842],,
7183,1.9048731],0.7070907],-0.6688738],0.17125411],-4.664245],,
6751,1.9051979],0.69895583],-0.68530154],0.17129202],-4.628864],,
9370,1.9052292],0.82010496],-0.65256363],0.13738485],-4.5602517],,
12124,1.9053838],0.68555546],-0.62362],0.17178883],-4.6469464],,
7318,1.9058952],0.70913696],-0.630027],0.1589414],-4.5949674],,
6583,1.90614],0.88800925],-0.7175449],0.10313036],-4.4381814],,
2890,1.9062142],0.61774856],-0.6579163],0.14721532],-4.3820386],,
8209,1.9062675],0.73302174],-0.68054056],0.17066576],-4.609523],,
11692,1.9063766],0.7037828],-0.66695404],0.15518214],-4.563961],,
7237,1.9064548],0.683655],-0.6740911],0.14946558],-4.688632],,
946,1.9068043],0.55687743],-0.63901186],0.1252764],-4.0851912],,
5131,1.9068512],0.74160254],-0.64753866],0.15251048],-4.4920807],,
4510,1.9068646],0.87399346],-0.64987075],0.13682468],-4.4607186],,
8497,1.9072003],0.74257994],-0.6228361],0.09832241],-4.8634734],,
7966,1.9073203],0.68054485],-0.57903916],0.15345831],-4.689792],,
7210,1.9077122],0.6664102],-0.67798525],0.17162819],-4.57144],,
7615,1.9079212],0.66449034],-0.6281991],0.17464902],-4.602721],,
12421,1.9082237],0.73623335],-0.671344],0.1655292],-4.5237427],,
9046,1.9082562],0.7602918],-0.6532781],0.13749452],-4.4899426],,
4564,1.908279],0.8662838],-0.6555203],0.15169151],-4.470266],,
10234,1.9083127],0.7640981],-0.6602415],0.15262915],-4.507714],,
12871,1.9084759],0.76150596],-0.5994457],0.09564419],-4.8417144],,
5158,1.9086345],0.7306782],-0.643575],0.13731928],-4.4634004],,
5563,1.9089192],0.7761397],-0.63049376],0.13754244],-4.500433],,
6724,1.9091494],0.64724374],-0.68221545],0.17154475],-4.529298],,
11719,1.9091959],0.6880172],-0.66754365],0.17011453],-4.485883],,
6130,1.9093652],0.7893243],-0.63524413],0.13696934],-4.4648814],,
9937,1.9095746],0.73250014],-0.607357],0.1386484],-4.643959],,
8722,1.9098735],0.6839452],-0.6581149],0.17283215],-4.6452646],,
7345,1.9098822],0.684934],-0.6286128],0.17387553],-4.5158377],,
9532,1.9101715],0.7202334],-0.6525529],0.13835783],-4.4801054],,
11233,1.9103057],0.7337339],-0.66076875],0.16502304],-4.5170865],,
10882,1.9103785],0.75780034],-0.6078974],0.15277661],-4.66541],,
6508,1.9107438],0.79332435],-0.63838077],0.15178736],-4.4924073],,
9505,1.9110256],0.730821],-0.65395564],0.14563383],-4.5658603],,
12340,1.9112104],0.67445743],-0.61398435],0.15008695],-4.673572],,
2728,1.9114785],0.630308],-0.68531847],0.14643557],-4.2967205],,
2647,1.911502],0.6162164],-0.5897288],0.1491213],-4.388855],,
10153,1.9118657],0.717656],-0.59885406],0.13089122],-4.673471],,
11989,1.9119824],0.66412824],-0.66348594],0.17157044],-4.5942006],,
7831,1.9119914],0.70411634],-0.62376],0.17410202],-4.5442257],,
6454,1.9121242],0.8143713],-0.6347923],0.1369126],-4.48931],,
5860,1.9124774],0.77807057],-0.6523887],0.15184684],-4.4667754],,
6697,1.9125822],0.6949204],-0.6769072],0.17119409],-4.63347],,
8938,1.9126691],0.8227401],-0.6610327],0.15216614],-4.503655],,
12205,1.9127208],0.7070804],-0.66084814],0.17073078],-4.5264015],,
4105,1.9127951],0.613863],-0.62412727],0.14574994],-4.3701777],,
8533,1.9128045],0.7012883],-0.69053936],0.16991319],-4.608319],,
8884,1.9129982],0.8201567],-0.65291244],0.13746156],-4.506384],,
5401,1.9130632],0.78915966],-0.634082],0.13754399],-4.479854],,
1486,1.9134043],0.78351724],-0.65893257],0.1261198],-4.2122216],,
3376,1.9134555],0.66158783],-0.61337066],0.11312474],-4.3682933],,
12691,1.9137487],0.71758723],-0.6620189],0.17073222],-4.5441537],,
10504,1.9137758],0.75072676],-0.6468253],0.13782443],-4.543077],,
6616,1.9140128],0.6830288],-0.6855608],0.17140259],-4.4809384],,
5428,1.9140477],0.73914725],-0.6351164],0.13024433],-4.5291715],,
8074,1.9145764],0.69783926],-0.6923846],0.17168905],-4.499747],,
10018,1.9149048],0.75173116],-0.64819646],0.13851334],-4.521621],,
7075,1.9149458],0.68318903],-0.6824023],0.16932125],-4.60887],,
2080,1.9149908],0.7329438],-0.6291628],0.11159696],-4.23602],,
5806,1.9149969],0.7624681],-0.63348126],0.13747509],-4.48531],,
11611,1.915017],0.7665854],-0.6646956],0.15594102],-4.6324754],,
5050,1.9152025],0.8337867],-0.65374625],0.15160449],-4.4678903],,
7588,1.9154338],0.7091302],-0.6261128],0.1747811],-4.576056],,
11125,1.9157368],0.7766862],-0.6711077],0.1557826],-4.5622334],,
8689,1.916095],0.88268787],-0.69231486],0.10458113],-4.5843453],,
8155,1.9165317],0.7206708],-0.6793401],0.172278],-4.61131],,
6310,1.9167817],0.8485761],-0.6190852],0.13324256],-4.6548457],,
1378,1.9167967],0.5749416],-0.66318536],0.11865194],-3.9237044],,
9802,1.9172686],0.7031232],-0.6496276],0.13129117],-4.594415],,
11962,1.917973],0.71427387],-0.663032],0.17170258],-4.5591645],,
4753,1.9180379],0.81013304],-0.64642537],0.13670291],-4.474893],,
8236,1.9181523],0.72278243],-0.6823686],0.17208208],-4.5614085],,
2944,1.9182394],0.7364533],-0.6617434],0.12667717],-4.267888],,
7039,1.9189644],0.7200664],-0.65548974],0.09735997],-4.848478],,
8041,1.9190445],0.9130875],-0.7248407],0.10386325],-4.4427805],,
3538,1.919124],0.69023424],-0.6091533],0.1123137],-4.3769207],,
10099,1.9192499],0.75036216],-0.6132039],0.13787068],-4.650975],,
11071,1.9195123],0.7779457],-0.6615155],0.15597965],-4.580837],,
2242,1.9196283],0.5958811],-0.6855477],0.14595015],-4.3070188],,
10396,1.9200872],0.790167],-0.6518137],0.15265729],-4.5543365],,
4483,1.9201925],0.88386554],-0.65390164],0.15164484],-4.470077],,
2215,1.9201928],0.62285733],-0.68263984],0.12894298],-4.393412],,
9424,1.9202532],0.79755396],-0.65786093],0.15211232],-4.578674],,
12286,1.9204887],0.7008835],-0.6283375],0.17094137],-4.6486154],,
9775,1.9213212],0.76417863],-0.64875025],0.13865723],-4.554412],,
4396,1.9213253],1.0101117],-0.6812832],0.03448804],-4.403121],,
6823,1.92174],0.68511146],-0.6645014],0.14846648],-4.682511],,
784,1.9217491],0.54421186],-0.6790734],0.12423559],-4.0737767],,
11314,1.921752],0.7905601],-0.6571984],0.16438366],-4.616677],,
12583,1.9218053],0.76615334],-0.6576736],0.16570224],-4.565044],,
8560,1.9221017],0.7065993],-0.6868191],0.17203541],-4.5383554],,
5779,1.922388],0.7511567],-0.634619],0.15245338],-4.51773],,
4888,1.9225942],0.82031],-0.6572648],0.15161677],-4.4623194],,
8491,1.9229476],0.74455047],-0.6460674],0.10641338],-4.7410555],,
9127,1.9234934],0.8044569],-0.6516365],0.13747503],-4.5798855],,
6022,1.9235616],0.80948305],-0.64948785],0.15183587],-4.4623303],,
7912,1.9236434],0.70005864],-0.59292555],0.17431273],-4.663323],,
10342,1.9238986],0.79810816],-0.6469468],0.1378832],-4.551725],,
5725,1.9239748],0.77639383],-0.63259214],0.13746919],-4.5059896],,
2863,1.9243958],0.6161816],-0.6410111],0.13041694],-4.4189405],,
9262,1.9244139],0.79068476],-0.66170084],0.15212448],-4.5136733],,
3943,1.9245045],0.6348092],-0.66220546],0.14505215],-4.2810664],,
1594,1.9246143],0.7288099],-0.64595425],0.11130877],-4.209662],,
12178,1.9247129],0.7077083],-0.66126084],0.14949729],-4.6051455],,
3673,1.924881],0.6868688],-0.67059165],0.130655],-4.342201],,
7033,1.925009],0.7408224],-0.6785632],0.10575218],-4.7472167],,
8398,1.9250127],0.70222294],-0.65051025],0.17248018],-4.6626415],,
1756,1.9252639],0.68622893],-0.6422022],0.11204906],-4.220079],,
6778,1.9253048],0.6820692],-0.6840648],0.17156233],-4.5758734],,
2485,1.9253545],0.63694525],-0.6221384],0.1487325],-4.312178],,
5644,1.9253926],0.76912534],-0.63562524],0.13739683],-4.4638023],,
6940,1.9260247],0.7209195],-0.66989696],0.17199858],-4.668215],,
12529,1.9261721],0.76119894],-0.6573392],0.16553934],-4.570988],,
9991,1.9262695],0.7424608],-0.65020347],0.13101096],-4.603504],,
8857,1.9263152],0.82590616],-0.6571579],0.15220208],-4.539595],,
2323,1.9264518],0.633291],-0.67310214],0.14655115],-4.3952723],,
244,1.9265063],0.44376665],-0.6892828],0.1037906],-3.7708492],,
7507,1.9266236],0.7110281],-0.62179744],0.17420758],-4.579615],,
11449,1.927131],0.7490935],-0.6696649],0.1558782],-4.5525556],,
8770,1.927197],1.0173095],-0.6859121],0.03493823],-4.375562],,
7102,1.9272517],0.668503],-0.67854214],0.1716943],-4.5374203],,
3781,1.9272892],0.7017333],-0.65901554],0.1389428],-4.33599],,
3214,1.9274591],0.66835606],-0.6498781],0.11302848],-4.2791896],,
6601,1.92752],0.7524861],-0.70487285],0.10462828],-4.6590924],,
7804,1.9276088],0.7070416],-0.62563443],0.15286846],-4.620316],,
2701,1.9283112],0.64063257],-0.68309706],0.13002689],-4.371445],,
10957,1.9283445],0.94958663],-0.69733727],0.0875618],-4.393952],,
11881,1.9284782],0.7095417],-0.6616857],0.17052652],-4.5465083],,
8707,1.9284981],0.76457864],-0.6439291],0.1056378],-4.8277397],,
12907,1.9286116],0.7332815],-0.6651869],0.16725333],-4.588975],,
5968,1.9290645],0.8214135],-0.64425206],0.1369489],-4.467302],,
8713,1.929256],0.74427897],-0.6252366],0.0830179],-4.8759837],,
8473,1.9292566],0.8993234],-0.69439745],0.10421272],-4.480714],,
3052,1.9296606],0.72373915],-0.6522763],0.11207981],-4.2990165],,
10720,1.9300883],0.7725841],-0.65455604],0.15279432],-4.5804944],,
7264,1.9302455],0.6866252],-0.67613393],0.17177548],-4.641832],,
5320,1.9302734],0.7623332],-0.64087063],0.13744266],-4.469811],,
5617,1.9303882],0.77002835],-0.6408664],0.15245433],-4.50213],,
6745,1.9305611],0.91578513],-0.71244776],0.10324247],-4.4979286],,
6346,1.9306426],0.80903125],-0.64589036],0.1517777],-4.4722505],,
2404,1.9311768],0.6133903],-0.678741],0.1461211],-4.373796],,
12772,1.9313139],0.7285763],-0.6240046],0.17028244],-4.6454988],,
8452,1.9320687],0.67873216],-0.6369248],0.15162559],-4.6903467],,
8203,1.9322786],0.9417015],-0.7088465],0.10390081],-4.4833694],,
7768,1.932533],0.7401672],-0.5627878],0.09965111],-4.8680754],,
6304,1.9328092],0.84171313],-0.6465077],0.0359927],-4.5650997],,
12826,1.9328499],0.69628006],-0.61046624],0.14853062],-4.6716356],,
4321,1.9330099],0.65163195],-0.613605],0.12466724],-4.4019337],,
9694,1.933275],0.7485651],-0.6491278],0.1384222],-4.5423875],,
7480,1.9333069],0.72222877],-0.6150335],0.1522611],-4.630909],,
865,1.9334483],0.57376516],-0.5761325],0.12694176],-4.0946302],,
7312,1.9336076],0.9152824],-0.6575188],0.10570063],-4.471747],,
6211,1.933773],0.8038642],-0.6316215],0.13699795],-4.4947753],,
1918,1.933983],0.69522476],-0.6330391],0.11207373],-4.234431],,
4645,1.9341596],0.7672952],-0.6555184],0.15146412],-4.4699154],,
11686,1.9343039],0.90718734],-0.6971865],0.10238101],-4.4359],,
4294,1.9343421],0.6415882],-0.6642059],0.14216085],-4.2584724],,
5293,1.9344401],0.7608019],-0.6452199],0.15241612],-4.490546],,
12880,1.9352365],0.7774497],-0.66610503],0.16761853],-4.4471617],,
6817,1.9353735],0.73251307],-0.69196385],0.10553397],-4.4810376],,
910,1.9355237],0.58920836],-0.670315],0.11112703],-4.181132],,
7015,1.9355549],0.9091665],-0.7007632],0.10414912],-4.4871016],,
7552,1.9357352],0.74195766],-0.6171156],0.14985855],-4.6856093],,
4969,1.9357747],0.8595021],-0.6531955],0.15159406],-4.475741],,
8281,1.9359906],0.72871846],-0.6758752],0.14852996],-4.678604],,
5125,1.9361033],0.94630486],-0.6778291],0.03489132],-4.4384913],,
6607,1.9362144],0.71065044],-0.6747824],0.14770474],-4.7396526],,
6832,1.9363818],0.68756896],-0.680249],0.15034981],-4.638683],,
10684,1.9363914],0.7958932],-0.58254313],0.11389513],-4.832709],,
13063,1.9367155],0.917506],-0.6632219],0.09900893],-4.5541954],,
12847,1.9367857],0.91981435],-0.6707914],0.10225512],-4.4574847],,
6286,1.9368277],0.9966209],-0.66098046],0.03449537],-4.3950286],,
5239,1.9368422],0.77969784],-0.63946855],0.13741554],-4.4844546],,
11422,1.9369859],0.7874351],-0.6597995],0.16111161],-4.4031005],,
3808,1.9370763],0.66154605],-0.659168],0.13551922],-4.195972],,
7249,1.9371217],0.7511681],-0.6824662],0.10478224],-4.830831],,
7231,1.9373716],0.8902986],-0.7041526],0.10329194],-4.5854344],,
8614,1.9373904],0.69637454],-0.6379492],0.15091605],-4.6928706],,
11044,1.9374015],0.78931576],-0.6658473],0.15621133],-4.618698],,
11854,1.9374623],0.71265334],-0.65626585],0.148618],-4.5982833],,
1216,1.93766],0.5997647],-0.66491723],0.11360814],-3.8446186],,
6877,1.9378314],0.7077393],-0.66306156],0.14598377],-4.81301],,
10585,1.937839],0.76634413],-0.61144024],0.13768984],-4.6478906],,
2449,1.9382511],0.6572376],-0.61622643],0.12937237],-4.4200864],,
6670,1.9382527],0.71031886],-0.6777941],0.14944209],-4.668777],,
6799,1.9384198],0.87565374],-0.70543116],0.10378464],-4.3456607],,
6763,1.9384285],0.76034886],-0.69755673],0.10474046],-4.7598643],,
1,1.9389186],0.04847353],-0.6458656],0.03255828],-1.4067012],,
9499,1.9389908],0.935881],-0.6820962],0.0357206],-4.4324813],,
9343,1.9390029],0.81062984],-0.65730476],0.15217324],-4.5969415],,
10801,1.9391181],0.7761549],-0.6082072],0.15260138],-4.676544],,
4558,1.9392633],1.0450045],-0.68065333],0.03449936],-4.4107766],,
12865,1.9395493],0.76205266],-0.6241708],0.10403652],-4.72003],,
8443,1.9395713],0.7443999],-0.6706099],0.1485035],-4.7447248],,
8011,1.9395723],0.74743766],-0.56625557],0.12031431],-4.8616667],,
12415,1.9396622],0.9393331],-0.7025399],0.09730674],-4.3965163],,
9019,1.9397557],0.763659],-0.65989375],0.1522335],-4.546567],,
7426,1.9399482],0.7303642],-0.61588407],0.17401393],-4.618914],,
2665,1.9400114],0.67503655],-0.5655486],0.0847996],-4.599935],,
12988,1.940176],0.74338174],-0.61173236],0.14516176],-4.681087],,
8635,1.9403026],0.90322495],-0.69330597],0.10446669],-4.482177],,
4159,1.9403138],0.6674222],-0.66188335],0.13203056],-4.33229],,
8527,1.9404056],0.8952717],-0.7202155],0.10452403],-4.474608],,
9667,1.9404418],0.74498785],-0.65010595],0.1309597],-4.5998626],,
10228,1.9408673],0.96781415],-0.68022764],0.03539945],-4.3849206],,
4852,1.9409232],0.8368956],-0.63119334],0.13295545],-4.5897117],,
8290,1.9413873],0.6988273],-0.68306506],0.15172209],-4.6347766],,
11206,1.9414475],0.73851985],-0.6669048],0.14280017],-4.5816817],,
10660,1.941472],0.954012],-0.65282106],0.03523673],-4.455248],,
6985,1.941507],0.7127485],-0.6629636],0.14844002],-4.7484045],,
11800,1.9418094],0.7278582],-0.6559391],0.17033263],-4.587877],,
7069,1.9418635],0.88614416],-0.7097114],0.10338838],-4.4793305],,
4132,1.9421264],0.693461],-0.6680688],0.1403596],-4.1723256],,
6265,1.9422277],0.77022797],-0.63610804],0.15174116],-4.502742],,
8221,1.9422443],0.80961907],-0.6888249],0.10539879],-4.738391],,
1351,1.942354],0.56999326],-0.6197957],0.12372245],-4.081719],,
3430,1.9426086],0.7026222],-0.65552855],0.1271782],-4.3112],,
10876,1.9427829],0.9627042],-0.6471982],0.03541972],-4.547471],,
7309,1.9429243],0.7271579],-0.6211764],0.1489091],-4.5777583],,
6853,1.9429553],0.8935777],-0.70355153],0.10425366],-4.4029465],,
11413,1.9429789],0.81367594],-0.6478092],0.09001984],-4.8373055],,
6256,1.9430877],0.82635844],-0.6198149],0.12898935],-4.544575],,
3592,1.9430931],0.6883697],-0.61075634],0.12712075],-4.395968],,
8059,1.9432653],0.7940073],-0.7087004],0.10536124],-4.6875796],,
8932,1.9432921],1.0299672],-0.6841425],0.03495605],-4.400845],,
5854,1.9437476],0.9766726],-0.67551315],0.03470768],-4.4008746],,
6094,1.9439037],0.8228031],-0.6203855],0.12896033],-4.5327754],,
11584,1.9440482],0.759804],-0.6574723],0.1611047],-4.4495964],,
9613,1.9442958],0.7697799],-0.6459768],0.13775535],-4.588196],,
13009,1.9442986],0.94884837],-0.6673231],0.09926195],-4.4655256],,
6502,1.944349],0.9874853],-0.6612509],0.03461267],-4.4711585],,
11530,1.9443783],0.7954346],-0.66125154],0.15118153],-4.6511693],,
4636,1.9443967],0.79181117],-0.6292989],0.12871791],-4.513718],,
6871,1.9444089],0.7432536],-0.6888373],0.10580273],-4.6287885],,
406,1.9445],0.5195185],-0.6681111],0.09368427],-3.619002],,
10678,1.9445418],0.79577786],-0.6081503],0.03662093],-4.7196956],,
13087,1.9445862],0.772557],-0.5961008],0.07785495],-4.863273],,
7762,1.9446539],0.7539139],-0.5864066],0.10746618],-4.7514067],,
1972,1.9448613],0.7254149],-0.65319306],0.1262442],-4.222157],,
1648,1.9448807],0.7847259],-0.6570029],0.12606134],-4.209036],,
11368,1.9449911],0.7497054],-0.6624382],0.14278807],-4.640574],,
964,1.9451221],0.6019486],-0.6255307],0.07179852],-4.3121333],,
11926,1.9452462],0.7482865],-0.65621287],0.14741607],-4.669478],,
11119,1.945377],0.98593247],-0.6934192],0.08760943],-4.4328885],,
